trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,,,,
184,0,184,0,5,511.8008118,511.8008118,0.0661562,-0.331428571,0.385714286,1,0,0,1.7080111,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
186,0,186,0,5,515.6513655,515.6513655,0.0641594,-0.437142857,-0.261428571,1,0,0,1.8122939,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
187,0,187,0,5,517.5322493,517.5322493,0.0626918,0.19,-0.472857143,1,0,0,1.9700611,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
188,0,188,0,5,519.5830781,519.5830781,0.0641006,0.047142857,0.327142857,1,0,0,3.1912444,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
189,0,189,0,5,522.8475952,522.8475952,0.0648086,-0.212857143,0.341428571,1,0,0,1.672606,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
191,0,191,0,5,527.130661,527.130661,0.0654769,-0.251428571,-0.477142857,1,0,0,2.5591493,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
193,0,193,0,5,531.1463361,531.1463361,0.0638438,-0.045714286,-0.205714286,1,0,0,1.9032172,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
194,0,194,0,5,533.1105199,533.1105199,0.0593488,-0.054285714,-0.075714286,1,0,0,1.7793297,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
198,0,198,0,5,547.9053635,547.9053635,0.0560356,0.331428571,0.145714286,1,0,0,2.4182306,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
199,0,199,0,5,550.387943,550.387943,0.0586978,0.487142857,-0.002857143,1,0,0,2.7593665,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
