trials.A1:K1thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,,,,,
109,0,109,0,10,66.3455392,66.3455392,0.0320705,0.318518519,0.305555556,1,0,0,1.5804007,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
110,0,110,0,10,71.1625697,71.1625697,0.0323468,0.02962963,0.27037037,1,0,0,1.5141268,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
111,0,111,0,10,72.7111676,72.7111676,0.0318056,-0.293518519,0.006481481,1,0,0,1.7149361,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
112,0,112,0,10,74.4628749,74.4628749,0.0323648,-0.32037037,-0.425,1,0,0,2.4151422,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
113,0,113,0,10,82.1796116,82.1796116,0.0323043,-0.364814815,0.412962963,1,0,0,1.7649632,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
114,0,114,0,10,85.5129037,85.5129037,0.0324843,0.27962963,-0.144444444,1,0,0,2.013914,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
115,0,115,0,10,92.5930411,92.5930411,0.0313162,0.485185185,-0.357407407,1,0,0,1.7994502,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
116,0,116,0,10,94.4257894,94.4257894,0.030263,-0.210185185,0.237962963,1,0,0,2.0666003,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
117,0,117,0,10,100.0590501,100.0590501,0.0299889,-0.394444444,0.293518519,1,0,0,2.8167474,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
118,0,118,0,10,102.9117122,102.9117122,0.0323993,-0.367592593,0.019444444,1,0,0,1.5975849,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
119,0,119,0,10,104.5443513,104.5443513,0.031894,-0.355555556,-0.110185185,1,0,0,1.6140914,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
120,0,120,0,10,107.4142688,107.4142688,0.0342937,0.189814815,0.337962963,1,0,0,2.2271635,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
