trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,Fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,,,,
17,0,17,0,10,36.54072129,36.54072129,0.017737542,0.267777778,0.081111111,1,0,0,1.312302875,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
19,0,19,0,10,39.44619563,39.44619563,0.018033875,-0.26,-0.411111111,1,0,0,1.207917292,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
21,0,21,0,10,41.91310533,41.91310533,0.018285791,-0.147777778,0.026666667,1,0,0,1.407640417,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
22,0,22,0,10,43.34046554,43.34046554,0.017570375,-0.307777778,-0.332222222,1,0,0,1.213159,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
23,0,23,0,10,44.57372354,44.57372354,0.017606666,-0.138888889,0.451111111,1,0,0,2.070420708,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
24,0,24,0,10,46.66514683,46.66514683,0.0179195,-0.11,0.462222222,1,0,0,0.812662,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
25,0,25,0,10,47.49858908,47.49858908,0.018108,-0.256666667,0.103333333,1,0,0,1.156001875,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
26,0,26,0,10,48.67424992,48.67424992,0.017661583,-0.398888889,-0.14,1,0,0,1.103792792,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
28,0,28,0,10,51.11304667,51.11304667,0.018263125,0.33,0.272222222,1,0,0,1.498165291,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
32,0,32,0,10,57.34645288,57.34645288,0.018317584,-0.327777778,0.162222222,1,0,0,1.708034333,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
34,0,34,0,10,60.1963185,60.1963185,0.018114375,-0.475555556,-0.391111111,1,0,0,1.898626375,     ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
